INSTITUTE_NAME,Latitude,Longitude,Unnamed: 3
RAHMATPUR DAKHIL MADRASAH,22.1716894,90.26357,✅ Valid
PANCHAKORALIA BAZAR BABU ALI DAKHIL MADRASHA,22.080834,90.1551658,✅ Valid
PURBA PATAKATA MEHER ALI SENIOR MADRASHA,23.7064488,90.5220762,✅ Valid
GHOP KHALI AL-AMIN DAKHIL MADRASAH,22.0931903,90.1743865,✅ Valid
UTTAR TEPURA ALAHAI DAKHIL MADRASA,22.1177831,90.3284921,✅ Valid
KARAIBARIA DARUSSUNAT DAKHIL MADRASA,22.4631596,89.9134755,✅ Valid
GHATKHALI AMINUDDIN GIRLS ALIM MADRASHA,22.1650212,90.2512777,✅ Valid
HARIDRABARIA D.S. DAKHIL MADRASHA,23.7654616,90.5070955,✅ Valid
KALAGACHIA ABDUL GANI DAKHIL MADRASHA,23.7283833,89.177742,✅ Valid
TALTALI SALEHIA ISLAMIA ALIM MADRASHA,21.9785262,90.0842207,✅ Valid
"ALHAJ MD. SHAMIM AHSAN DAKHIL MADRASAH, MOHISDANGA",22.1187582,90.2597875,✅ Valid
UTTAR KALAMPUR NURANI BALIKA DAKHIL MADRASHA,22.2526978,90.2810786,✅ Valid
TAKTABUNIA NESARIA DAKHIL MADRASA,22.0216842,89.9487797,✅ Valid
N.M.M. AMZADIA ALIM MADRASHA,22.1595423,90.1157453,✅ Valid
UTTAR PASCHIM TIAKHALI KALAMIA DAKHIL MADRASHA,22.1493539,90.331852,✅ Valid
CHOTO BOGI GABTALI DAKHIL MADRASAH,22.935175,90.0753925,✅ Valid
ABDUR GAFUR DAKHIL MADRASAH,22.0589515,90.1191447,✅ Valid
"SOUTH JARAHALI S, DAKHIL MADRASHA",22.2636106,90.1433198,✅ Valid
CHAWRA NESARIA SENIOR ALIM MADRASAH,22.1630723,90.2424043,✅ Valid
TALTALI  DEGREE  COLLEGE,21.9926483,90.0848935,✅ Valid
EUNUS ALI KHAN DEGREE COLLEGE,22.1605051,90.1200636,✅ Valid
GOVT. AMTALI  DEGREE  COLLEGE,22.1340602,90.2292989,✅ Valid
BAKUL NESSA MOHILA COLLEGE,22.1425692,90.2381722,✅ Valid
TIAKHALI COLLEGE,22.0670201,90.2361808,✅ Valid
UTTAR SONAKHALI SCHOOL & COLLEGE,22.1574399,90.1121017,✅ Valid
BUKABUNIA ADASHA SECONDARY SCHOOL,22.1584666,90.1180112,✅ Valid
GOVT.  SARWARJAN PILOT MODEL HIGH SCHOOL,22.30878,90.094861,✅ Valid
BAMNA ASMATUNNESSA PILOT SECONDARY GIRLS SCHOOL,22.274155,90.0653341,✅ Valid
HOGALPATI DOUATALA UNION SECONDARY SCHOOL,22.2276626,90.0126701,✅ Valid
LATABUNIA SECONDARY SCHOOL,22.1572455,90.1146166,✅ Valid
JAFRAKHALI HIGH SCHOOL,22.268122,90.0341389,✅ Valid
RAMNA SHER-E BANGLA SAMABAYA SECONDARY SCHOOL,22.7234992,90.3680683,✅ Valid
HALDA DOUATALA SAMABAY MULTILATERAL SECONDARY SCHOOL,22.8408155,89.661121,✅ Valid
UTTAR KAKCHIRA SECONDARY SCHOOL,22.2183022,90.0531234,✅ Valid
J C L JUNIOR HIGH SCHOOL,22.1572455,90.1146166,✅ Valid
KHOLPATUA ADARSHA JUNIOR SECONDARY SCHOOL,22.1584666,90.1180112,✅ Valid
LAXMIPURA DAKHIL MADRASHA,22.3333006,90.0570397,✅ Valid
KHOLPATUA MAHMUDIA SINIOR MADRASHA,22.2652084,90.0770127,✅ Valid
DODHI VANGA BARATALESHAR MOHISUNNAH ALIM MADRASA,22.1595966,90.1157441,✅ Valid
UTTAR KAKCHIRA ALIM MADRASAH,22.2293386,90.0511475,✅ Valid
VHAIJORA DOUATOLA MAHMUDIA DAKHIL MADRASHA,22.1711784,90.1682389,✅ Valid
NIZAMTALI ISLAMIA DAKHIL MADRASHA,22.0066698,90.0025519,✅ Valid
BUKABUNIA MAHMUDIA DAKHIL MADRASHA,23.7654616,90.5070955,✅ Valid
GHOPALKHALI  ISLAMIA DAKHIL MADRASAH,22.2873905,90.0623872,✅ Valid
CHALAVANGA DARUSSALAM RASHIDIA ALIM MADRASHA,22.1605051,90.1200636,✅ Valid
BAMNA SADAR   AR- RASHID FAZIL MADRASHA,22.3128887,90.0910316,✅ Valid
SONBUNIA DAWATALA AR-R ALIM MADRASHA,22.513109,89.3336761,✅ Valid
BAMNA MOHILA DAKHIL MADRASHA,24.5473004,89.9307708,✅ Valid
HALTA DAWATALA WAZED ALI KHAN COLLEGE,22.1605051,90.1200636,✅ Valid
"BEGUM  FAIZUNNESA  MOHILA  DEGREE COLLEGE,  BAMNA",22.3128887,90.0910316,✅ Valid
BAMNA DEGREE COLLEGE,22.3015253,90.0917619,✅ Valid
MOHOSIN UDDIN MEMORIAL SECONDARY SCHOOL,23.6257887,90.520022,✅ Valid
RAKHAINPARA B.P.S SECONDARY SCHOOL,22.1546912,90.1056242,✅ Valid
FULJHURE M. L SECONDARY SCHOOL,22.0820587,90.2322333,✅ Valid
LEMUA IDEAL HIGH SCHOOL,22.1898125,90.1829375,✅ Valid
UTTER  KUMAR KHALI  J.R.  GIRLS  SCHOOL,22.1576778,90.1207363,✅ Valid
DEMA GULISHAKHALI HAKIMIA SECONDARY SCHOOL,22.183322,90.0602137,✅ Valid
GOURICHANNA NAWAB SALIMULLAH HIGH SCHOOL,22.2135501,90.1126002,✅ Valid
NIMTOLI AZIZABAD C M SECONDARY GIRL'S SCHOOL,22.1576778,90.1207363,✅ Valid
CHALITATALI KB HIGH SCHOOL,22.1748216,90.0886708,✅ Valid
BABUGANJ ADARSHA SECONDARY SCHOOL,22.002986,90.0259182,✅ Valid
BARGUNA ZILLA SCHOOL,22.1560308,90.1230443,✅ Valid
BARGUNA GOVT GIRL'S HIGH SCHOOL,22.1576778,90.1207363,✅ Valid
GUDI GHATA HIGH SCHOOL,22.2090408,90.1659109,✅ Valid
BARGUNA COLLEGIATE HIGH SCHOOL,22.1572455,90.1146166,✅ Valid
BARGUNA ADARSHA GIRL'S HIGH SCHOOL,22.1584666,90.1180112,✅ Valid
BARGUNA D.K.P SECONDARY  SCHOOL,22.1546912,90.1056242,✅ Valid
LAKURTALA SONAR BANGLA HIGH SCHOOL,22.1960939,90.1191793,✅ Valid
NASIMA MOZIBOR  GIRLS HIGH SCHOOL,23.6281985,90.5223917,✅ Valid
KARAITALA SONAKHALI GAGON MEMORIAL HIGH SCHOOL,22.1560308,90.1230443,✅ Valid
NALI MUSLIM HIGHER SECONDARY SCHOOL,22.0732974,90.0392835,✅ Valid
TETUL BARIA HIGH SCHOOL,22.1960882,90.0389578,✅ Valid
SHIALIA MI HIGH SCHOOL,22.0247926,90.0366982,✅ Valid
NALI MAITHA HIGH SCHOOL,22.0836727,90.0713173,✅ Valid
LEMUA KHAJURA PK. HIGH SCHOOL,22.1329397,90.0763803,✅ Valid
BAWALKER D K JR HIGH SCHOOL,22.2278598,90.3230694,✅ Valid
PARIRKHAL HIGH SCHOOL,22.0439873,90.0520834,✅ Valid
AYLA SECONDARY SCHOOL,22.2210031,90.1977162,✅ Valid
BASHBUNIA HIGH SCHOOL,22.1560308,90.1230443,✅ Valid
BURIRCHAR A.M.G HIGH SCHOOL,22.1530184,90.1991108,✅ Valid
ROAD PARA SHAHID SMIRITY HIGH SCHOOL,22.2019616,90.1501551,✅ Valid
AYLA PATAKA SONAR BANGLA HIGH SCHOOL,22.1960939,90.1191793,✅ Valid
DALVANGA B M HIGH SCHOOL,23.9569795,90.0424647,✅ Valid
FUL DHALUA KATHAL TALI HIGH SCHOOL,24.6736796,92.17232,✅ Valid
CHARAKGACHHIA PROGOTI HIGH SCHOOL,24.8643243,91.8540994,✅ Valid
